cell,staleness_h,n_unique_test_pair_ids,learned_wins,sgp4_wins,ties,learned_pair_win_rate,median_pair_delta_mae_hz,mean_pair_delta_mae_hz,boot_ci_low_hz,boot_ci_high_hz,sign_test_p
NORAD66741->NORAD66741,8,60,22,38,0,0.366667,0.010784,0.027104,0.012955,0.042113,0.051894
NORAD66741->NORAD66741,24,82,37,45,0,0.45122,0.017679,0.013596,-0.001394,0.02922,0.439705
NORAD66741->NORAD66741,48,88,34,54,0,0.386364,0.014007,0.017156,0.004002,0.031148,0.042211
NORAD66741->NORAD66741,72,87,47,40,0,0.54023,-0.002478,-0.001989,-0.010907,0.00692,0.520292
NORAD66741->NORAD66741,96,89,46,43,0,0.516854,-0.008184,0.006962,-0.020144,0.036846,0.832258
NORAD66741->NORAD66741,168,93,41,52,0,0.44086,0.061568,0.034586,0.012255,0.057918,0.299732
NORAD68474->NORAD68474,8,25,11,14,0,0.44,0.001824,-0.000191,-0.00773,0.006586,0.690038
NORAD68474->NORAD68474,24,39,10,29,0,0.25641,0.083035,0.048539,0.022194,0.071341,0.003378
NORAD68474->NORAD68474,48,38,11,27,0,0.289474,0.126179,0.060458,0.018149,0.098125,0.013853
NORAD68474->NORAD68474,72,38,16,22,0,0.421053,0.009582,0.013191,-0.022022,0.05008,0.417692
NORAD68474->NORAD68474,96,41,16,25,0,0.390244,0.009088,0.008657,-0.028749,0.044514,0.211024
NORAD68474->NORAD68474,168,42,21,21,0,0.5,-0.001083,-0.002787,-0.027873,0.022225,1.0
NORAD66741->NORAD68474,8,25,4,21,0,0.16,0.075364,0.069781,0.041009,0.098159,0.000911
NORAD66741->NORAD68474,24,39,8,31,0,0.205128,0.076911,0.052356,0.030322,0.072404,0.000294
NORAD66741->NORAD68474,48,38,18,20,0,0.473684,0.0078,0.015191,-0.005934,0.038316,0.871415
NORAD66741->NORAD68474,72,38,16,22,0,0.421053,0.018588,0.00633,-0.008991,0.021253,0.417692
NORAD66741->NORAD68474,96,41,16,25,0,0.390244,0.120778,0.035814,-0.01387,0.083254,0.211024
NORAD66741->NORAD68474,168,42,18,24,0,0.428571,0.037861,0.018836,-0.018791,0.053738,0.440799
NORAD68474->NORAD66741,8,60,30,30,0,0.5,0.000138,-8.2e-05,-0.001952,0.001993,1.0
NORAD68474->NORAD66741,24,82,47,35,0,0.573171,-0.010389,-0.007467,-0.01503,-0.000263,0.224245
NORAD68474->NORAD66741,48,88,46,42,0,0.522727,-0.004163,-0.013915,-0.028196,0.000538,0.749329
NORAD68474->NORAD66741,72,87,45,42,0,0.517241,-0.029667,-0.023184,-0.047665,0.002451,0.830373
NORAD68474->NORAD66741,96,89,42,47,0,0.47191,0.016525,-0.015726,-0.044348,0.013212,0.671809
NORAD68474->NORAD66741,168,93,56,37,0,0.602151,-0.26088,-0.151343,-0.277369,-0.020707,0.061386
