cell,staleness_h,n_unique_test_pair_ids,learned_wins,sgp4_wins,ties,learned_pair_win_rate,median_pair_delta_mae_hz,mean_pair_delta_mae_hz,boot_ci_low_hz,boot_ci_high_hz,sign_test_p
NORAD66741->NORAD66741,8,60,22,38,0,0.366667,0.010783,0.027107,0.012957,0.042117,0.051894
NORAD66741->NORAD66741,24,82,37,45,0,0.45122,0.017678,0.013595,-0.001395,0.029218,0.439705
NORAD66741->NORAD66741,48,88,34,54,0,0.386364,0.014004,0.017148,0.003999,0.031136,0.042211
NORAD66741->NORAD66741,72,87,47,40,0,0.54023,-0.002475,-0.001992,-0.010907,0.006916,0.520292
NORAD66741->NORAD66741,96,89,46,43,0,0.516854,-0.008182,0.006955,-0.020153,0.036841,0.832258
NORAD66741->NORAD66741,168,93,41,52,0,0.44086,0.061565,0.034585,0.012253,0.057919,0.299732
NORAD68474->NORAD68474,8,25,11,14,0,0.44,0.001826,-0.000476,-0.007841,0.006246,0.690038
NORAD68474->NORAD68474,24,39,10,29,0,0.25641,0.083116,0.048906,0.022678,0.071879,0.003378
NORAD68474->NORAD68474,48,38,11,27,0,0.289474,0.126215,0.060721,0.01855,0.09834,0.013853
NORAD68474->NORAD68474,72,38,16,22,0,0.421053,0.009582,0.013208,-0.021988,0.050097,0.417692
NORAD68474->NORAD68474,96,41,16,25,0,0.390244,0.009092,0.008928,-0.028373,0.045098,0.211024
NORAD68474->NORAD68474,168,42,21,21,0,0.5,-0.001077,-0.002788,-0.027879,0.02223,1.0
NORAD66741->NORAD68474,8,25,4,21,0,0.16,0.075371,0.069623,0.040948,0.097993,0.000911
NORAD66741->NORAD68474,24,39,8,31,0,0.205128,0.07691,0.052518,0.030484,0.072569,0.000294
NORAD66741->NORAD68474,48,38,18,20,0,0.473684,0.007796,0.015206,-0.005935,0.038342,0.871415
NORAD66741->NORAD68474,72,38,16,22,0,0.421053,0.018616,0.006349,-0.008968,0.021265,0.417692
NORAD66741->NORAD68474,96,41,16,25,0,0.390244,0.120778,0.035995,-0.013629,0.083644,0.211024
NORAD66741->NORAD68474,168,42,18,24,0,0.428571,0.037878,0.018838,-0.01879,0.053741,0.440799
NORAD68474->NORAD66741,8,60,30,30,0,0.5,0.000138,-8.2e-05,-0.001953,0.001994,1.0
NORAD68474->NORAD66741,24,82,47,35,0,0.573171,-0.010392,-0.007468,-0.015033,-0.000261,0.224245
NORAD68474->NORAD66741,48,88,46,42,0,0.522727,-0.004162,-0.013915,-0.028195,0.000539,0.749329
NORAD68474->NORAD66741,72,87,45,42,0,0.517241,-0.029667,-0.023184,-0.047664,0.002451,0.830373
NORAD68474->NORAD66741,96,89,42,47,0,0.47191,0.016544,-0.01573,-0.044366,0.013223,0.671809
NORAD68474->NORAD66741,168,93,56,37,0,0.602151,-0.26092,-0.151351,-0.277398,-0.02069,0.061386
